,company,text,result
0,자이냅스,"[특징주]디지아이, 챗봇 핵심 생성AI 세계 최초 기술 자이냅스 지분 11% 보유↑",POSITIVE
1,자이냅스,AI가 엄마 목소리로 책 읽어준다…자이냅스-북토비 맞손,NEUTRAL
2,자이냅스,[스타트업] AI가 엄마 목소리로 대신 읽어줘요,NEUTRAL
3,자이냅스,어린이 전자책에 '생성 AI' 음성기술 접목…자이냅스·북토비 맞손,NEUTRAL
4,자이냅스,자이냅스-북토비 '음성합성 기술 키즈 콘텐츠 개발' 협력,NEUTRAL
5,스트라드비젼,투자 빙하기 녹인  ‘핫’ 스타트업,POSITIVE
6,스트라드비젼,CCO에 CPSO·CSO까지…별의별 'C레벨' 직책이 다 있네,NEUTRAL
7,스트라드비젼,"CDO, CRO, CPSO?…기업들 C'X'O 직책 늘어나는 까닭은 [긱스]",NEUTRAL
8,스트라드비젼,‘AI에 진심’ 1500억 베팅한 미래에셋벤처투자…성과 기대감↑,NEUTRAL
9,스트라드비젼,직장인 행복도 1위 기업은 구글코리아…2위는? [Geeks' Briefing],NEUTRAL
10,로앤컴퍼니,변협 '로톡 이용 제한' 문제 없나?…오늘 법위반 여부 가려져,NEUTRAL
11,로앤컴퍼니,디지털 성범죄 피해자 법률상담 돕는다…로톡·라바웨이브 맞손,NEUTRAL
12,로앤컴퍼니,"로톡-라바웨이브, 디지털 성범죄 피해자 법률상담 MOU",NEUTRAL
13,로앤컴퍼니,"로톡-라바웨이브 맞손…""디지털 성범죄 피해자 법률상담 지원""",NEUTRAL
14,로앤컴퍼니,"로톡-라바웨이브, 디지털 성범죄 피해자 법률상담 지원 협업",NEUTRAL
15,알고리즘랩스,"""의대 가려고"" 연쇄 이탈...대학들, 대면 상담·AI 도입까지",NEUTRAL
16,알고리즘랩스,[자막뉴스] SKY 대거 이탈 막기 대작전...AI까지 도입한다,NEUTRAL
17,알고리즘랩스,"""의대 가려고"" 연쇄 이탈...대학들, 대면 상담·AI 도입까지",NEUTRAL
18,알고리즘랩스,"서울창조경제혁신센터, ‘2022년 산업맞춤형 AI인력양성 바우처 지원사업’ 성료",NEUTRAL
19,알고리즘랩스,"서울창조경제혁신센터, 2022년 산업맞춤형 AI인력양성 바우처 지원사업 44개 과제 최종 마무리",NEUTRAL
20,빅인사이트,[2022 디지털마케팅 연말결산]슬슬 실감되는 '쿠키리스시대',NEUTRAL
21,빅인사이트,"'진입장벽 낮추는' 디지털 마케팅 솔루션, '고객 경험' 개선에 주력",POSITIVE
22,빅인사이트,[주목! 이 책] 요즘 카피 바이블,NEUTRAL
23,빅인사이트,"빅인사이트, 커머스 특화 '빅인 CDP' 론칭…마케터 역량 향상 기대",POSITIVE
24,빅인사이트,"빅인사이트, 고객 데이터 플랫폼(CDP) 출시… 커머스 마케팅 지원",NEUTRAL
25,악어디지털,"악어디지털, 에이스손해보험과 ‘보험금 청구 자동화’ 사업 진행",NEUTRAL
26,악어디지털,"악어디지털, KISA ‘전자화 문서 관리 규정’ 등록 완료",NEUTRAL
27,악어디지털,5·18기록물 통합DB 구축 2차년도 사업 본격화,NEUTRAL
28,악어디지털,5·18기록물 통합 DB 구축 2차년도 사업 돌입,NEUTRAL
29,악어디지털,"악어디지털, 문서전자화 솔루션 ‘파인웍스’ GS인증 1등급 획득",POSITIVE
30,포지큐브,"하나은행, 비대면 실명확인에 '신분증 원본 검증' 기술 적용…""고해상도 컬러 복사본까지 판별 가능""",NEUTRAL
31,포지큐브,"하나은행, 신분증 원본 검증 기술로 금융사고 예방",NEUTRAL
32,포지큐브,"하나은행, 비대면 실명확인에 신분증 원본 검증 기술 적용",NEUTRAL
33,포지큐브,"하나은행, 비대면 실명확인에 '신분증 원본 검증' 적용",NEUTRAL
34,포지큐브,"하나은행, 비대면 실명확인에 ‘은행 최초’ 신분증 원본 검증 적용",NEUTRAL
35,에이아이트릭스,"환자 응급상황 예측 AI ‘바이탈케어’, 3월부터 비급여 시장 진입",NEUTRAL
36,에이아이트릭스,"입원환자 응급상황 예측하는 AI 기술, 비급여 시장 진입한다",NEUTRAL
37,에이아이트릭스,"AI트릭스 '바이탈케어', 다음달 비급여 진출… 신의료기술평가 유예",POSITIVE
38,에이아이트릭스,"웰트·에이아이트릭스, 식약처 혁신의료기기 지정...디지털헬스케어 실증지원사업 참여 결과",POSITIVE
39,에이아이트릭스,"케이메디허브, 디지털 헬스케어 실증지원 사업으로 기업 2곳 혁신의료기기로 지정",POSITIVE
40,아크릴,‘엔터테이너 거리’ 핵심 ‘스타게이트 영상’ 결국 없어진다,NEUTRAL
41,아크릴,“전통과 현대·역사와 미래·다양성 담긴 역작”,NEUTRAL
42,아크릴,"커피를 마시는 또 다른 이유…자연, 동네를 품은 그 카페 [부동산360]",NEUTRAL
43,아크릴,국도 방음벽 뚫고 날아간 새…지나가다 ‘파편 세례’ 맞은 차량 배상은? [영상],NEUTRAL
44,아크릴,"함평군, 매월 마지막 주 수요일은 '문화가 있는 날'",NEUTRAL
45,노타,"[포토]이장우 대전시장, CES 2023 방문…시정 접목 방안 구상",NEUTRAL
46,노타,이장우 대전시장 CES 2023 참관…시정 접목 구상,NEUTRAL
47,노타,"대전 유망 벤처, 세계최대 혁신기술 경연장 ‘CES 2023’서 기술력 뽐냈다",POSITIVE
48,노타,"미국 라스베이거스 'CES 2023' 찾은 이장우 대전시장 ""결국 반도체""",NEUTRAL
49,노타,"이장우 대전시장, CES 찾아 나노반도체· 마이스 산업 육성 방안 구체화",NEUTRAL
50,제이엘케이,"제이엘케이, 14일 기업설명회 개최",NEUTRAL
51,제이엘케이,제약·바이오株 맥 못추는데 ‘의료AI’ 주가는 80%↑... 해당 기업은 영업적자,NEGATIVE
52,제이엘케이,로봇株 불상승할 때 함께 뛰었다…V자 반등 성공한 '이것'은?,POSITIVE
53,제이엘케이,"제이엘케이, 전립선암 진단 보조 딥러닝 모델 국제학술지 게재",NEUTRAL
54,제이엘케이,"제이엘케이, AI로 전립선암 진단 개선 논문 MDPI에 게재",POSITIVE
55,휴레이포지티브,"""헬스케어 디지털 전환은 선택 아닌 필수…퍼스트무버만 생존 가능""",POSITIVE
56,휴레이포지티브,"대세 'AI' 흐름탄 루닛 ""올해에도 작년처럼 성장할 것""",POSITIVE
57,휴레이포지티브,"[fn마켓워치]IMM인베, 12개 디지털헬스케어 포트폴리오사 협력 강화",NEUTRAL
58,휴레이포지티브,"통신업계, 디지털 헬스케어 사업 잰걸음",NEUTRAL
59,휴레이포지티브,재벌들이 경쟁적으로 디지털 헬스케어에 뛰어드는 까닭,NEUTRAL
60,뉴빌리티,"4주년 맞은 규제샌드박스, 성과는?…투자 유치 10조원, 고용 1만명 넘어",POSITIVE
61,뉴빌리티,"[POWER COMPANY] `오뚝이 정신` 계승한 HL만도, ESG경영도 A등급",POSITIVE
62,뉴빌리티,가교부터 투자까지... 유망 스타트업과 상생하는 삼성증권 [ESG클린리더스],NEUTRAL
63,뉴빌리티,"실험실서 키운 투뿔 꽃등심, 치킨 튀기는 로봇…돈 되는 이 기술",POSITIVE
64,뉴빌리티,“인간의 삶을 편리하게… 로봇과 함께 살아가는 세상 꿈꿔”[더 퓨처스],NEUTRAL
